RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
18,Indiana Pacers,2008-2009,E,C,36,46,0.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73
19,Milwaukee Bucks,2008-2009,E,C,34,48,0.415,-1.09,107.44,108.61,-1.18,-0.87,107.6,108.54,-0.94
20,Charlotte Bobcats,2008-2009,E,SE,35,47,0.42700000000000005,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.5
21,New York Knicks,2008-2009,E,A,32,50,0.39,-2.61,108.7,111.41,-2.71,-2.33,109.03,111.44,-2.41
22,New Jersey Nets,2008-2009,E,A,34,48,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56
23,Toronto Raptors,2008-2009,E,A,33,49,0.402,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66
24,Golden State Warriors,2008-2009,W,P,29,53,0.354,-3.74,109.94,113.76,-3.82,-3.8,109.98,113.86,-3.89
25,Minnesota Timberwolves,2008-2009,W,NW,24,58,0.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112.0,-5.23
26,Memphis Grizzlies,2008-2009,W,SW,24,58,0.293,-5.46,104.51,110.62,-6.12,-5.22,104.48,110.33,-5.84
27,Oklahoma City Thunder,2008-2009,W,NW,23,59,0.28,-6.1,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41
28,Washington Wizards,2008-2009,E,SE,19,63,0.23199999999999998,-7.46,105.98,114.23,-8.26,-6.98,106.39,114.11,-7.73
29,Sacramento Kings,2008-2009,W,P,17,65,0.207,-8.76,106.3,115.64,-9.34,-8.59,106.32,115.5,-9.18
30,Los Angeles Clippers,2008-2009,W,P,19,63,0.23199999999999998,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31
1,Orlando Magic,2009-2010,E,SE,59,23,0.72,7.49,112.13,104.0,8.13,7.12,112.02,104.28,7.73
2,Cleveland Cavaliers,2009-2010,E,C,61,21,0.7440000000000001,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82
3,Utah Jazz,2009-2010,W,NW,53,29,0.6459999999999999,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75
4,San Antonio Spurs,2009-2010,W,SW,50,32,0.61,5.09,110.61,105.17,5.44,5.07,110.49,105.07,5.42
5,Los Angeles Lakers,2009-2010,W,P,57,25,0.695,4.72,109.51,104.57,4.93,4.78,109.32,104.32,5.0
6,Phoenix Suns,2009-2010,W,P,54,28,0.659,4.9,116.11,110.94,5.16,4.68,116.06,111.13,4.93
7,Atlanta Hawks,2009-2010,E,SE,53,29,0.6459999999999999,4.66,112.6,107.6,5.0,4.44,112.67,107.91,4.77
8,Denver Nuggets,2009-2010,W,NW,53,29,0.6459999999999999,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2
9,Oklahoma City Thunder,2009-2010,W,NW,50,32,0.61,3.49,109.18,105.43,3.75,3.55,109.06,105.23,3.82
10,Portland Trail Blazers,2009-2010,W,NW,50,32,0.61,3.3,111.91,108.02,3.88,3.18,111.78,108.04,3.74
11,Boston Celtics,2009-2010,E,A,50,32,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72
12,Dallas Mavericks,2009-2010,W,SW,55,27,0.6709999999999999,2.72,110.0,107.17,2.84,2.67,109.88,107.09,2.79
13,Miami Heat,2009-2010,E,SE,47,35,0.573,2.28,107.63,105.06,2.57,2.0,107.58,105.32,2.26
14,Milwaukee Bucks,2009-2010,E,C,46,36,0.561,1.7,105.74,103.81,1.94,1.38,105.68,104.09,1.59
15,Charlotte Bobcats,2009-2010,E,SE,44,38,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22
16,Houston Rockets,2009-2010,W,SW,42,40,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04
17,Memphis Grizzlies,2009-2010,W,SW,40,42,0.488,-1.51,109.07,110.71,-1.64,-1.38,109.0,110.49,-1.49
18,Toronto Raptors,2009-2010,E,A,40,42,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75
19,Chicago Bulls,2009-2010,E,C,41,41,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79
20,New Orleans Hornets,2009-2010,W,SW,37,45,0.451,-2.46,108.19,110.92,-2.73,-2.26,108.15,110.67,-2.52
21,Indiana Pacers,2009-2010,E,C,32,50,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14
22,Golden State Warriors,2009-2010,W,P,26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28
23,New York Knicks,2009-2010,E,A,29,53,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19
24,Sacramento Kings,2009-2010,W,P,25,57,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42
25,Philadelphia 76ers,2009-2010,E,A,27,55,0.32899999999999996,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43
26,Washington Wizards,2009-2010,E,SE,26,56,0.317,-4.78,105.11,110.41,-5.3,-4.72,105.34,110.57,-5.23
27,Detroit Pistons,2009-2010,E,C,27,55,0.32899999999999996,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7
28,Los Angeles Clippers,2009-2010,W,P,29,53,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57
29,Minnesota Timberwolves,2009-2010,W,NW,15,67,0.183,-9.6,102.34,112.31,-9.97,-9.06,102.38,111.78,-9.4
30,New Jersey Nets,2009-2010,E,A,12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79
1,Miami Heat,2010-2011,E,SE,58,24,0.7070000000000001,7.46,112.62,104.35,8.27,6.76,112.43,104.94,7.49
2,Chicago Bulls,2010-2011,E,C,62,20,0.7559999999999999,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37
3,Los Angeles Lakers,2010-2011,W,P,57,25,0.695,6.11,111.61,105.0,6.61,6.01,111.4,104.89,6.51
4,San Antonio Spurs,2010-2011,W,SW,61,21,0.7440000000000001,5.71,112.31,106.23,6.07,5.86,112.22,105.97,6.25
