"bbref_id","season","age","team","league","position","games_played","minutes_played","PER","TS_perc","three_point_rate","FTr","ORB_perc","DRB_perc","TRB_perc","AST_perc","STL_perc","BLK_perc","TOV_perc","USG_perc","OWS","DWS","WS","WS_per_48","OBPM","DBPM","BPM","VORP","team_flag"
"artesro01","2017",37,"LAL","NBA","SF",25,160,6.5,0.38,0.559,0.235,3.3,10.6,6.8,9.8,3,1,8.5,21.9,-0.3,0.1,-0.2,-0.061,-4.1,-2.1,-6.2,-0.2,TRUE
"arthuda01","2009",20,"MEM","NBA","PF",76,1464,11.3,0.456,0.005,0.138,8.9,20.3,14.5,5,1.9,2.9,9.2,16.3,-0.1,1.8,1.7,0.055,-3.9,0.8,-3.1,-0.4,TRUE
"arthuda01","2010",21,"MEM","NBA","PF",32,457,10.5,0.449,0.007,0.205,9.4,18.7,14,4.9,1.6,2.3,12.1,17.4,-0.1,0.4,0.3,0.031,-3.9,-0.4,-4.3,-0.3,TRUE
"arthuda01","2011",22,"MEM","NBA","PF",80,1609,15.7,0.534,0.01,0.215,8.5,17,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,0.113,-1.6,0.3,-1.3,0.3,TRUE
"arthuda01","2013",24,"MEM","NBA","PF",59,970,11.8,0.477,0.05,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,0.2,1.5,1.7,0.084,-2.9,0.5,-2.4,-0.1,TRUE
"arthuda01","2014",25,"DEN","NBA","SF",68,1161,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8,1.6,3,11.7,18.1,-0.5,1.2,0.7,0.029,-3.8,1,-2.8,-0.2,TRUE
"arthuda01","2015",26,"DEN","NBA","PF",58,988,11.5,0.466,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2,TRUE
"arthuda01","2016",27,"DEN","NBA","PF",70,1516,12.5,0.514,0.239,0.108,6.2,15.4,10.7,10,1.8,2.6,11.4,16.7,1,1.3,2.3,0.072,-1.2,0.8,-0.3,0.6,TRUE
"arthuda01","2017",28,"DEN","NBA","PF",41,639,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,TRUE
"arthuda01","2018",29,"DEN","NBA","PF",19,141,8.4,0.559,0.489,0.064,2.4,9.5,6,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0,-0.011,-3.5,-1,-4.5,-0.1,TRUE
"artisja01","2018",25,"ORL","NBA","SG",15,279,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0,-0.006,-4.3,-1.5,-5.9,-0.3,TRUE
"asikom01","2011",24,"CHI","NBA","C",82,989,11.8,0.559,0,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,0.5,2.2,2.7,0.13,-3.5,3,-0.5,0.4,TRUE
"asikom01","2012",25,"CHI","NBA","C",66,971,13.4,0.509,0,0.66,14.9,25.1,20.1,4.8,1.7,5,25.2,12.6,0.1,2.5,2.6,0.129,-3.3,4.4,1.1,0.8,TRUE
"asikom01","2013",26,"HOU","NBA","C",82,2464,14.9,0.558,0.002,0.487,12.8,31,22,4.6,0.9,2.7,18.8,16.3,2,3.5,5.5,0.108,-2.6,1.3,-1.3,0.5,TRUE
"asikom01","2014",27,"HOU","NBA","C",48,968,14,0.57,0,0.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,1,1.5,2.4,0.121,-3.1,0.7,-2.4,-0.1,TRUE
"asikom01","2015",28,"NOP","NBA","C",76,1982,15.5,0.545,0,0.546,14,28.8,21.4,5.4,0.8,2.1,15.7,14,2.8,2.2,5,0.12,-1.3,0.6,-0.7,0.6,TRUE
"asikom01","2016",29,"NOP","NBA","C",68,1178,11,0.551,0,0.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,0.7,1,1.7,0.07,-4,-0.2,-4.2,-0.7,TRUE
"asikom01","2017",30,"NOP","NBA","C",31,482,9.8,0.517,0,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1,0.1,-4.3,1.2,-3.1,-0.1,TRUE
"asikom01","2018",31,"TOT","NBA","C",18,182,3.1,0.397,0,0.591,5.5,22.2,14,2.1,0.5,1.9,24.5,8.7,-0.2,0.2,-0.1,-0.021,-8.1,0,-8.1,-0.3,TRUE
"asikom01","2018",31,"NOP","NBA","C",14,121,4.5,0.423,0,0.75,6.5,26,16.6,2,0.4,1.3,19,9.4,-0.1,0.1,0,0.008,-7.4,-0.7,-8.1,-0.2,FALSE
"asikom01","2018",31,"CHI","NBA","C",4,61,0.2,0.311,0,0.167,3.4,14.6,8.8,2.1,0.8,2.9,38.3,7.4,-0.1,0,-0.1,-0.078,-9.6,1.6,-8,-0.1,FALSE
"atkinch01","1900",25,"ORL","NBA","PG",82,1626,14.4,0.489,0.22,0.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,1.1,1.3,2.4,0.072,0.4,-2.6,-2.3,-0.1,TRUE
"atkinch01","2001",26,"DET","NBA","PG",81,2363,12.2,0.481,0.356,0.137,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,0.057,0.3,-2.2,-1.8,0.1,TRUE
"atkinch01","2002",27,"DET","NBA","PG",79,2285,14.5,0.568,0.425,0.152,1.6,6.5,4.1,20.5,1.7,0.3,13.2,20,3.3,1.8,5.1,0.107,2,-2,-0.1,1.1,TRUE
"atkinch01","2003",28,"DET","NBA","PG",65,1398,10.1,0.475,0.52,0.105,1.8,6.5,4.1,22.4,1.1,0.2,13.7,19.4,0.3,1.2,1.5,0.053,-0.5,-2.3,-2.8,-0.3,TRUE
"atkinch01","2004",29,"TOT","NBA","PG",64,1544,12.1,0.511,0.498,0.2,0.7,6.2,3.5,24.7,1.5,0.1,14.9,18.5,1.5,1.3,2.7,0.085,0.2,-2.7,-2.5,-0.2,TRUE
