"bbref_id","season","salary","contract_type","salary_prop_cap"
"anderry01",2011,1409040,"past",0.0242753772999793
"anderry01",2012,2244601,"past",0.0386706808627937
"anderry01",2013,8700000,"past",0.149886293156915
"anderry01",2014,8308500,"past",0.141592392508393
"anderry01",2015,8491500,"past",0.134646792991358
"anderry01",2016,8500000,"past",0.121428571428571
"anderry01",2017,18735364,"past",0.199009634279766
"anderry01",2018,19578455,"past",0.197576569485231
"anderry01",2019,20421546,"regular",0.200468699997055
"anderry01",2020,5214583,"regular",0.0478402110091743
"anderry01",2021,5214583,"regular",0.0449533017241379
"anderry01",2022,5214584,"regular",NA
"andersh01",1997,220000,"past",0.00903008660673973
"andersh01",1998,1200000,"past",0.0446096654275093
"andersh01",1999,1300000,"past",0.0433333333333333
"andersh01",2000,2e+06,"past",0.0588235294117647
"andersh01",2001,2200000,"past",0.0619718309859155
"andersh01",2002,5500000,"past",0.129411764705882
"andersh01",2003,6100000,"past",0.151473765240496
"andersh01",2004,6700000,"past",0.152828467153285
"andersh01",2005,8173699,"past",0.186316366537497
"andersh01",2006,8935000,"past",0.180505050505051
"andersh01",2007,7244726,"past",0.136345647878046
"andrima01",2006,398762,"past",0.00805579797979798
"andrima01",2007,664209,"past",0.0125004046297168
"anigbik01",2018,950000,"past",0.00958695366978495
"anigbik01",2019,1378242,"regular",0.0135295526607702
"antetgi01",2014,1792560,"past",0.0305485778557917
"antetgi01",2015,1873200,"past",0.0297026877031634
"antetgi01",2016,1953960,"past",0.0279137142857143
"antetgi01",2017,2995421,"past",0.0318177772112637
"antetgi01",2018,22471910,"past",0.226775957938502
"antetgi01",2019,24157304,"regular",0.237140877008707
"antetgi01",2020,25842697,"regular",0.237088963302752
"antetgi01",2021,27528090,"regular",0.237311120689655
"antetth01",2016,105888,"past",0.00151268571428571
"antetth01",2020,1445697,"regular",0.0132632752293578
"antetth01",2021,1701593,"regular",0.0146689051724138
"anthoca01",2004,3229200,"past",0.0736587591240876
"anthoca01",2005,3471360,"past",0.0791283337132437
"anthoca01",2006,3713640,"past",0.0750230303030303
"anthoca01",2007,4694041,"past",0.0883417897807472
"anthoca01",2008,13041250,"past",0.234428365989574
"anthoca01",2009,14410581,"past",0.24557908997955
"anthoca01",2010,15779912,"past",0.273482010398614
"anthoca01",2011,17149243,"past",0.295452467093929
"anthoca01",2012,18518574,"past",0.319043725449659
"anthoca01",2013,19450000,"past",0.335090620908276
"anthoca01",2014,22407474,"past",0.381865301044667
"anthoca01",2015,22458000,"past",0.356108776659003
"anthoca01",2016,22875000,"past",0.326785714285714
"anthoca01",2017,24559380,"past",0.260873139797967
"anthoca01",2018,26243760,"past",0.264839696043111
"anthoca01",2019,27928140,"regular",0.274157398227135
"anthojo01",2008,427163,"past",0.00767864461621427
"anthojo01",2009,711517,"past",0.0121253749147921
"anthojo01",2010,825497,"past",0.0143067071057192
"anthojo01",2011,3300000,"past",0.0568534215422783
"anthojo01",2012,3600000,"past",0.0620219144097581
"anthojo01",2013,3750000,"past",0.064606160843498
"anthojo01",2014,3800000,"past",0.0647591131409874
"anthojo01",2015,3800000,"past",0.0602552921588837
"anthojo01",2016,2500000,"past",0.0357142857142857
"anthojo01",2017,663810,"past",0.00705108186482266
"anticpe01",2015,1250000,"past",0.0198208197891065
"anunoog01",2018,1645200,"past",0.0166025854500318
"anunoog01",2019,1952760,"regular",0.0191693253099569
"anunoog01",2020,2281800,"regular",0.0209339449541284
"anunoog01",2021,3872215,"team_option",0.0333811637931034
"applike01",2016,161776,"past",0.00231108571428571
"araujra01",2005,2082720,"past",0.0474748119443811
"araujra01",2006,2238960,"past",0.0452315151515152
"araujra01",2007,2395200,"past",0.0450776324456573
"arcidry01",2017,75000,"past",0.000796660399604856
"arcidry01",2018,NA,"past",NA
"arcidry01",2019,1349383,"regular",0.0132462574482914
"arcidry01",2020,3e+06,"regular",0.0275229357798165
"arcidry01",2021,3e+06,"regular",0.0258620689655172
"arcidry01",2022,3e+06,"team_option",NA
"arenagi01",2002,332817,"past",0.00783098823529412
