RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES
3.0,2008-2009,Charlotte Bobcats,0,82,19930,0.455,11.6,0.787,0.368,0.11900000000000001,0.08199999999999999,0.21899999999999997,0.213,0.479,0.5660000000000001,0.384,0.39799999999999996,0.415,0.366,0.539,0.047,274,0.307,1002,0.9390000000000001,0.299,0.385,18.0,1.0
4.0,2008-2009,Chicago Bulls,1,82,19930,0.457,12.4,0.8109999999999999,0.33,0.084,0.10400000000000001,0.293,0.18899999999999997,0.474,0.574,0.386,0.387,0.418,0.381,0.505,0.048,300,0.265,951,0.8170000000000001,0.24600000000000002,0.374,13.0,0.0
5.0,2008-2009,Cleveland Cavaliers,1,82,19780,0.46799999999999997,13.7,0.741,0.278,0.10099999999999999,0.10099999999999999,0.262,0.259,0.495,0.644,0.385,0.391,0.418,0.39299999999999996,0.484,0.049,289,0.21,801,0.79,0.35100000000000003,0.41200000000000003,10.0,0.0
6.0,2008-2009,Dallas Mavericks,1,82,19805,0.462,13.4,0.759,0.266,0.08900000000000001,0.162,0.242,0.24100000000000002,0.498,0.601,0.402,0.44299999999999995,0.456,0.35,0.506,0.042,262,0.21100000000000002,774,0.851,0.282,0.335,17.0,1.0
7.0,2008-2009,Denver Nuggets,1,82,19730,0.47,11.8,0.773,0.376,0.1,0.081,0.21600000000000003,0.22699999999999998,0.499,0.616,0.40700000000000003,0.327,0.401,0.371,0.555,0.08800000000000001,523,0.266,924,0.777,0.193,0.389,18.0,1.0
8.0,2008-2009,Detroit Pistons,1,82,19905,0.45399999999999996,12.7,0.835,0.284,0.091,0.156,0.304,0.165,0.475,0.5870000000000001,0.47700000000000004,0.405,0.406,0.349,0.51,0.039,233,0.22899999999999998,812,0.955,0.38,0.38,11.0,0.0
9.0,2008-2009,Golden State Warriors,0,82,19880,0.45799999999999996,12.6,0.7909999999999999,0.308,0.138,0.092,0.252,0.209,0.48,0.632,0.36200000000000004,0.366,0.402,0.373,0.46799999999999997,0.044000000000000004,290,0.247,1036,0.8270000000000001,0.22399999999999998,0.461,18.0,1.0
10.0,2008-2009,Houston Rockets,1,82,19805,0.45299999999999996,12.3,0.746,0.309,0.16,0.111,0.166,0.254,0.48,0.568,0.45,0.409,0.39299999999999996,0.375,0.49200000000000005,0.033,195,0.265,922,0.8240000000000001,0.19399999999999998,0.38299999999999995,25.0,0.0
11.0,2008-2009,Indiana Pacers,0,82,19830,0.455,12.9,0.7559999999999999,0.295,0.135,0.10300000000000001,0.223,0.244,0.48,0.5920000000000001,0.413,0.41,0.40299999999999997,0.37799999999999995,0.45399999999999996,0.026000000000000002,167,0.261,1051,0.9329999999999999,0.174,0.37,9.0,0.0
12.0,2008-2009,Los Angeles Clippers,0,82,19880,0.441,12.2,0.774,0.336,0.11900000000000001,0.102,0.218,0.226,0.467,0.5820000000000001,0.4,0.34700000000000003,0.382,0.354,0.525,0.045,260,0.265,957,0.847,0.18,0.426,30.0,3.0
13.0,2008-2009,Los Angeles Lakers,1,82,19780,0.474,11.9,0.7829999999999999,0.32,0.14800000000000002,0.11900000000000001,0.196,0.217,0.505,0.616,0.44,0.44299999999999995,0.41,0.361,0.522,0.068,442,0.231,872,0.8540000000000001,0.27399999999999997,0.366,14.0,0.0
14.0,2008-2009,Memphis Grizzlies,0,82,19805,0.45399999999999996,11.4,0.825,0.332,0.16399999999999998,0.102,0.22699999999999998,0.175,0.474,0.573,0.405,0.39799999999999996,0.414,0.36,0.433,0.07,406,0.248,759,0.892,0.252,0.39399999999999996,13.0,0.0
15.0,2008-2009,Miami Heat,1,82,19955,0.457,13.3,0.755,0.275,0.11900000000000001,0.114,0.247,0.245,0.489,0.619,0.423,0.41200000000000003,0.41100000000000003,0.35700000000000004,0.485,0.062,363,0.19899999999999998,722,0.826,0.28800000000000003,0.364,22.0,0.0
16.0,2008-2009,Milwaukee Bucks,0,82,19780,0.445,12.4,0.792,0.305,0.11800000000000001,0.125,0.243,0.20800000000000002,0.467,0.568,0.43700000000000006,0.384,0.39799999999999996,0.363,0.539,0.043,257,0.243,861,0.892,0.304,0.4,8.0,1.0
17.0,2008-2009,Minnesota Timberwolves,0,82,19805,0.441,11.9,0.773,0.332,0.13699999999999998,0.107,0.196,0.22699999999999998,0.467,0.5710000000000001,0.4,0.365,0.395,0.353,0.491,0.031,186,0.28,1017,0.875,0.292,0.41100000000000003,18.0,0.0
18.0,2008-2009,New Jersey Nets,0,82,19830,0.44799999999999995,12.8,0.735,0.33,0.08800000000000001,0.102,0.215,0.265,0.473,0.578,0.41600000000000004,0.375,0.38299999999999995,0.376,0.478,0.051,304,0.26,893,0.8420000000000001,0.307,0.451,9.0,0.0
19.0,2008-2009,New Orleans Hornets,1,82,19755,0.457,12.8,0.76,0.276,0.134,0.13699999999999998,0.213,0.24,0.48700000000000004,0.613,0.451,0.387,0.41,0.364,0.47100000000000003,0.055999999999999994,325,0.20199999999999999,714,0.899,0.33,0.414,9.0,0.0
20.0,2008-2009,New York Knicks,0,82,19805,0.445,12.8,0.6779999999999999,0.349,0.091,0.084,0.154,0.322,0.486,0.5760000000000001,0.41200000000000003,0.364,0.391,0.36,0.447,0.037000000000000005,235,0.299,1150,0.843,0.239,0.382,19.0,0.0
