"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c","position_minutes","position_numeric","team_flag","advanced_position_cluster"
"leeco01",2017,31,9,"NYK","NBA","SG",77,2459,-5,-2.8,0.14,0.81,0.06,0,0,344.26,1991.79,147.54,0,0,"SG",1.94,TRUE,"Wing"
"leeco01",2018,32,10,"NYK","NBA","SG",76,2310,-5.4,-3.8,0.01,0.93,0.06,0,0,23.1,2148.3,138.6,0,0,"SG",2.05,TRUE,"Wing"
"leeco01",2019,33,11,"TOT","NBA","SG",34,428,-6.7,-1.2,0.03,0.8,0.17,0,0,12.84,342.4,72.76,0,0,"SG",2.14,TRUE,"Wing"
"augusdj01",2009,21,1,"CHA","NBA","PG",72,1908,-1.1,0.6,1,0,0,0,0,1908,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2010,22,2,"CHA","NBA","PG",80,1472,0.7,-1.4,1,0,0,0,0,1472,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2011,23,3,"CHA","NBA","PG",82,2757,-5.7,-3.7,1,0,0,0,0,2757,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2012,24,4,"CHA","NBA","PG",48,1408,-15.4,0.5,0.77,0.23,0,0,0,1084.16,323.84,0,0,0,"PG",1.23,TRUE,"Guard"
"augusdj01",2013,25,5,"IND","NBA","PG",76,1226,-1.7,-9.5,1,0,0,0,0,1226,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2014,26,6,"TOT","NBA","PG",71,1939,1.3,-2,1,0,0,0,0,1939,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2015,27,7,"TOT","NBA","PG",82,1964,-2.3,-3.4,0.98,0.02,0,0,0,1924.72,39.28,0,0,0,"PG",1.02,TRUE,"Guard"
"augusdj01",2016,28,8,"TOT","NBA","PG",62,1178,-1.1,-3.8,1,0,0,0,0,1178,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2017,29,9,"ORL","NBA","PG",78,1538,-14.7,-12.7,1,0,0,0,0,1538,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2018,30,10,"ORL","NBA","PG",75,1760,-3.8,2.4,1,0,0,0,0,1760,0,0,0,0,"PG",1,TRUE,"Guard"
"augusdj01",2019,31,11,"ORL","NBA","PG",81,2269,3.1,4.8,1,0,0,0,0,2269,0,0,0,0,"PG",1,TRUE,"Guard"
"whitedj01",2009,22,1,"OKC","NBA","PF",7,130,0,7,0,0,0,0.72,0.28,0,0,0,93.6,36.4,"PF",4.28,TRUE,"Big"
"whitedj01",2010,23,2,"OKC","NBA","PF",12,102,4.5,0.3,0,0,0.02,0.93,0.05,0,0,2.04,94.86,5.1,"PF",4.03,TRUE,"Big"
"whitedj01",2011,24,3,"TOT","NBA","C-PF",47,685,-2.5,-2.6,0,0,0.02,0.57,0.41,0,0,13.7,390.45,280.85,"PF",4.39,TRUE,"Big"
"whitedj01",2012,25,4,"CHA","NBA","PF",58,1098,-16.7,-1.6,0,0,0.01,0.7,0.29,0,0,10.98,768.6,318.42,"PF",4.28,TRUE,"Big"
"whitedj01",2013,26,5,"BOS","NBA","PF",12,86,14.1,14.9,0,0,0.02,0.92,0.06,0,0,1.72,79.12,5.16,"PF",4.04,TRUE,"Big"
"whitedj01",2014,27,6,"CHA","NBA","PF",2,10,-2.9,-2.7,0,0,0,1,0,0,0,0,10,0,"PF",4,TRUE,"Wing"
"gallida01",2009,20,1,"NYK","NBA","SG",28,412,5.7,9.4,0,0.37,0.58,0.05,0,0,152.44,238.96,20.6,0,"SF",2.68,TRUE,"Wing"
"gallida01",2010,21,2,"NYK","NBA","SF",81,2747,-2.5,4.3,0,0.08,0.57,0.35,0,0,219.76,1565.79,961.45,0,"SF",3.27,TRUE,"Wing"
"gallida01",2011,22,3,"TOT","NBA","PF-SF",62,2104,1.9,-1.7,0,0,0.39,0.59,0.02,0,0,820.56,1241.36,42.08,"PF",3.63,TRUE,"Wing"
"gallida01",2012,23,4,"DEN","NBA","SF",43,1351,8.4,8.8,0,0,0.75,0.24,0.01,0,0,1013.25,324.24,13.51,"SF",3.26,TRUE,"Wing"
"gallida01",2013,24,5,"DEN","NBA","SF",71,2309,7.4,5.2,0,0,0.69,0.31,0,0,0,1593.21,715.79,0,"SF",3.31,TRUE,"Wing"
"gallida01",2015,26,6,"DEN","NBA","SF",59,1426,0.7,7.2,0,0.01,0.45,0.54,0.01,0,14.26,641.7,770.04,14.26,"PF",3.58,TRUE,"Wing"
"gallida01",2016,27,7,"DEN","NBA","SF",53,1839,-2.8,0.5,0,0,0.67,0.32,0.01,0,0,1232.13,588.48,18.39,"SF",3.34,TRUE,"Wing"
"gallida01",2017,28,8,"DEN","NBA","SF",63,2134,2.7,5.6,0,0,0.37,0.62,0.01,0,0,789.58,1323.08,21.34,"PF",3.64,TRUE,"Wing"
"gallida01",2018,29,9,"LAC","NBA","SF",21,671,0.3,0,0,0,0.64,0.36,0,0,0,429.44,241.56,0,"SF",3.36,TRUE,"Wing"
"gallida01",2019,30,10,"LAC","NBA","SF",68,2059,1.7,1.5,0,0,0.57,0.43,0,0,0,1173.63,885.37,0,"SF",3.43,TRUE,"Wing"
"jacksda01",2009,23,1,"CLE","NBA","PF",51,430,-8.9,-21.5,0,0,0.02,0.86,0.12,0,0,8.6,369.8,51.6,"PF",4.1,TRUE,"Big"
"jacksda01",2010,24,2,"TOT","NBA","PF",28,123,-14.6,-19.5,0,0,0,0.37,0.63,0,0,0,45.51,77.49,"C",4.63,TRUE,"Big"
"jacksda01",2011,25,3,"SAC","NBA","PF",59,486,-5.8,0,0,0,0.05,0.76,0.19,0,0,24.3,369.36,92.34,"PF",4.14,TRUE,"Big"
"arthuda01",2009,20,1,"MEM","NBA","PF",76,1464,-7.6,-2.8,0,0,0,0.81,0.19,0,0,0,1185.84,278.16,"PF",4.19,TRUE,"Big"
"arthuda01",2010,21,2,"MEM","NBA","PF",32,457,-12.4,-12.1,0,0,0,0.84,0.16,0,0,0,383.88,73.12,"PF",4.16,TRUE,"Big"
"arthuda01",2011,22,3,"MEM","NBA","PF",80,1609,2.1,-0.5,0,0,0,0.95,0.05,0,0,0,1528.55,80.45,"PF",4.05,TRUE,"Big"
"arthuda01",2013,24,4,"MEM","NBA","PF",59,970,-5.6,-13.7,0,0,0.08,0.92,0.01,0,0,77.6,892.4,9.7,"PF",3.97,TRUE,"Big"
"arthuda01",2014,25,5,"DEN","NBA","SF",68,1161,2.8,7,0,0,0.27,0.71,0.02,0,0,313.47,824.31,23.22,"PF",3.75,TRUE,"Wing"
"arthuda01",2015,26,6,"DEN","NBA","PF",58,988,-1,3.8,0,0,0.04,0.78,0.18,0,0,39.52,770.64,177.84,"PF",4.14,TRUE,"Wing"
"arthuda01",2016,27,7,"DEN","NBA","PF",70,1516,-1.6,2.4,0,0,0.01,0.79,0.21,0,0,15.16,1197.64,318.36,"PF",4.24,TRUE,"Big"
"arthuda01",2017,28,8,"DEN","NBA","PF",41,639,-1,-1.3,0,0,0,0.58,0.42,0,0,0,370.62,268.38,"PF",4.42,TRUE,"Wing"
"arthuda01",2018,29,9,"DEN","NBA","PF",19,141,-11.3,-13,0,0,0.01,0.93,0.06,0,0,1.41,131.13,8.46,"PF",4.05,TRUE,"Wing"
"jordade01",2009,20,1,"LAC","NBA","C",53,771,-16.1,-7.6,0,0,0,0.06,0.94,0,0,0,46.26,724.74,"C",4.94,TRUE,"Big"
